HashTag,Frequency
#주안역맛집,3
#인천맛집,3
#먹스타그램,2
#맛스타그램,2
#주안맛집,2
#곱창고,1
#먹스타,1
#돌배기집,1
#백종원,1
#주안돌배기집,1
#주안삼겹살,1
#인천남구맛집,1
#인천소고기맛집,1
#약속스타그램,1
#간식스타그램,1
#프로혼영러,1
#장샤넬,1
#장샤넬인천,1
#장샤넬주안,1
#장샤넬오코노미야끼,1
#이찌방야끼,1
#오꼬노미야끼,1
#오코노미야끼,1
#에비야끼,1
#먹방스타그램,1
#영화스타그램,1
#영화,1
#어벤저스,1
#어벤저스인피니티워,1
